report_id	vehicle_id	status	date_submit	model_year	date_built	model_version	model_package	city	state	country	postal_code	user_alias	date_acquired	unit_distance	odo_acquired_raw	odometer_raw	odometer_miles	range_mode_ideal_range_raw	range_mode_ideal_range_miles	standard_mode_ideal_range_raw	standard_mode_ideal_range_miles	cac	batt_swapped	batt_swap_count	sheet_swap_count	date_batt_swap	odo_batt_swap	pem_swapped	pem_swap_count	date_pem_swap	odo_pem_swap	motor_swapped	motor_swap_count	date_motor_swap	odo_motor_swap	voltage_charge	current_charge	range_charge_frequency	range_charge_frequency_text	standard_charge_frequency	standard_charge_frequency_text	use_type	use_type_text	drive_frequency	drive_frequency_text	lbw_frequency	lbw_frequency_text	batt_hot_frequency	batt_hot_frequency_text	pem_hot_frequency	pem_hot_frequency_text	motor_hot_frequency	motor_hot_frequency_text	tow_count	trip_distance	highway_pct	highway_speed	ownership	ownership_text	purchase	purchase_text	date_disposed	comments
80	55		01/23/2013 02:25	2011	05/30/2011	2.5	Roadster	Buffalo	NY	United States	14223		06/30/2011	mi	50	20000	20000	244	244	186	186		NO					NO				NO				230	30	5	Weekly	9	Monthly	2	Daily driver, except in winter	3	Most days of the week	5	Weekly	12	Less than once per year	5	Weekly	0	n/a	0	60	50	60	1	Own	1	New		Haven't noticed any great decrease in range as of yet, in fact, my range went higher than original when I purchased new low rolling resistance tires.
81	56		01/23/2013 03:24	2008	03/20/2009	1.5	Roadster	San Jose	CA	United States	95128	Stuart	04/29/2009	mi	0	19535	19535	226	226	181	181		YES	1	1	04/09/2012	14930	NO				NO				230	70	11	About once per year	5	Weekly	2	Daily driver, except in winter	3	Most days of the week	10	A few times per year	12	Less than once per year	12	Less than once per year	0	n/a	0	20	75	65	1	Own	1	New		
82	57	void	01/23/2013 12:49	2010	09/14/2009	1.5	Roadster	Chandler	AZ	United States	AZ		10/03/2009	mi	56	38973	38973	165	165	159	159		NO					NO				NO				240	32	10	A few times per year	2	Daily	1	Daily driver, year-round	2	Daily	12	Less than once per year	10	A few times per year	12	Less than once per year	0	n/a	0	60	50	75	1	Own	1	New		
83	58		01/23/2013 21:18	2008	03/05/2009	1.5	Roadster	Lebanon	PA	United States	17042	donauker	04/14/2009	mi		48161	48161	216	216	164	164	139.67	NO					NO				NO				240	32	10	A few times per year	4	A few times per week	1	Daily driver, year-round	4	A few times per week	10	A few times per year	8	Never	12	Less than once per year	0	n/a	0	50	10	65	1	Own	1	New		Information is based on usage prior to receiving Model S. There will greatly reduced usage from this point on.
84	59		01/23/2013 21:30	2010	03/15/2010	2.0	Roadster	Georgetown	ON	Canada		dj905	05/15/2010	km	100	58300	36233.685518955873	362	224.9844623990055935	285	177.1286513362336855		NO					NO				NO				240	40	10	A few times per year	1	More than once per day	2	Daily driver, except in winter	2	Daily	12	Less than once per year	8	Never	8	Never	0	n/a	0	180	70	120	1	Own	1	New		
85	60		01/25/2013 00:22	2010	07/20/2009	2.0	Roadster	Redmond	WA	United States	98053	richkae	07/27/2009	mi	50	27387	27387	234	234	183	183	155.32	YES	1	13	10/25/2009	3185	NO				NO				240	40	10	A few times per year	2	Daily	1	Daily driver, year-round	2	Daily	8	Never	8	Never	10	A few times per year	0	n/a	0	35	50	60	1	Own	1	New		
86	43		01/25/2013 10:31	2011	02/02/2011	2.5	Roadster	Zurich		Switzerland			03/24/2011	km		30095	18704.164077066501	384	238.6575512740832815	303	188.3157240522063393		NO					NO				YES	1	11/12/2012	28100	220	32	10	A few times per year	5	Weekly	1	Daily driver, year-round	2	Daily	10	A few times per year	11	About once per year	10	A few times per year	0	n/a	0	35	25	120	2	Lease	1	New		
87	39		01/26/2013 21:25	2008	03/11/2009	1.5	Roadster	Yorba Linda	CA	United States	92886	Gary1M	07/02/2011	mi		18234	18234			186	186		NO					NO				NO				240	40	11	About once per year	2	Daily	1	Daily driver, year-round	3	Most days of the week	8	Never	8	Never	8	Never	0	n/a	0	75	90	65	1	Own	2	Used		
88	61		01/27/2013 12:13	2011	01/01/2011	2.5	Roadster	Indian Head	MD	United States	20640		08/23/2011	mi	330	25097	25097	224	224	172	172		NO					NO				NO				208	50	9	Monthly	2	Daily	1	Daily driver, year-round	2	Daily	9	Monthly	8	Never	8	Never	0	n/a	0	60	80	70	2	Lease	1	New		
89	62		01/27/2013 16:13	2011	02/10/2011	2.5	Roadster	Anchorage	AK	United States	99501		05/31/2011	mi	20	11843	11843			195	195		NO					YES	2	06/15/2012	8000	NO				240	40	10	A few times per year	5	Weekly	2	Daily driver, except in winter	4	A few times per week	9	Monthly	8	Never	8	Never	0	n/a	0	110	90	70	1	Own	1	New		The car operates in a cool environment with ambient temperatures rarely exceeding 80F. In winter it is garaged at temperatures around 50F.  Typical use is two 110 mile trips per week.
90	63		01/27/2013 18:40	2011	02/07/2011	2.5	Roadster	Monrovia	CA	United States	91016	Chris Ziegler	07/10/2011	mi	150	15000	15000			186	186		NO					YES	1	10/15/2011	2000	NO				240	24	10	A few times per year	2	Daily	1	Daily driver, year-round	3	Most days of the week	11	About once per year	10	A few times per year	11	About once per year	0	n/a	0	30	75	70	1	Own	1	New		Roadster recently had a snow dam installed to minimize debris in cooling ducts. Since then no instances of high temps have been observed. Recent acq of model s has reduce use of roadster. But I still love the roadster!
91	64		01/28/2013 00:01	2010	10/09/2009	2.0	Roadster Sport	Woodland Hills	CA	United States	91367	DrTaras	10/31/2009	mi	25	41110	41110	216	216	172	172		NO					NO				NO				240	30	10	A few times per year	2	Daily	1	Daily driver, year-round	2	Daily	10	A few times per year	10	A few times per year	10	A few times per year	0	n/a	2	26	70	75	1	Own	1	New		Kudos!
92	65		01/28/2013 07:14	2012	10/13/2011	2.5	Roadster	Doorn		Netherlands			11/30/2012	km	189	5016	3117.4642635177128651			300	186.4512119328775637	159.68	NO					NO				NO				230	32	10	A few times per year	2	Daily	1	Daily driver, year-round	2	Daily	10	A few times per year	8	Never	8	Never	0	n/a	0	100	70	110	1	Own	1	New		
93	66		01/31/2013 09:59	2011	05/07/2011	2.5	Roadster	Zuerich		Switzerland		raumgleiter	09/21/2011	km	268	18189	11304.5369794903666874			299	185.8297078931013052		NO					NO				NO				220	16	10	A few times per year	2	Daily	1	Daily driver, year-round	3	Most days of the week	11	About once per year	8	Never	10	A few times per year	0	n/a	0	55	40	130	1	Own	1	New		it would be also  intersting, what other parts have been changed in the roadster. in my  case: new suspension, dc-wandler, pem ventilation
94	67		02/03/2013 07:44	2011	03/09/2011	2.5	Roadster	Barcelona		Spain		TRON	03/12/2011	km	0	85000	52827.843380981976	350	217.5264139216904910	275	170.9136109384711001		NO					NO				NO				220	30	4	A few times per week	4	A few times per week	1	Daily driver, year-round	2	Daily	5	Weekly	10	A few times per year	6	A few times per month	0	n/a	1	25	90	85	2	Lease	1	New		I know world wide many more Tesla owners than you have registered.  You have to coordinate all owners of the world. Germany for instance is organized at tff-forum.de. I will post a link to you there ;)
95	68		02/04/2013 05:03	2010	10/10/2010	2.5	Roadster Sport	Sindelfingen		Germany			08/01/2012	km	3000	12000	7458.0484773151025482	335	208.2038533250466128	290	180.2361715351149782	150.38	NO					NO				NO				240	13	10	A few times per year	4	A few times per week	2	Daily driver, except in winter	3	Most days of the week	9	Monthly	12	Less than once per year	12	Less than once per year	0	n/a	0	60	15	110	1	Own	1	New		
96	69		02/04/2013 11:11	2010	07/22/2010	2.5	Roadster	Hueckelhoven		Germany		Talkredius	08/30/2010	km	250	134000	83281.541330018645	334	207.5823492852703543	261	162.2125543816034804		NO					NO				NO				230	30	9	Monthly	2	Daily	1	Daily driver, year-round	2	Daily	10	A few times per year	8	Never	10	A few times per year	0	n/a	0	180	60	90	2	Lease	1	New		one brick is constantly underperforming, will be investigated by Tesla at the next regular service
97	69		02/05/2013 16:38	2010	07/22/2010	2.5	Roadster	Hueckelhoven		Germany		Talkredius	08/30/2010	km	250	134775	83763.206960845245	334	207.5823492852703543	261	162.2125543816034804	132.89	NO					NO				NO				230	30	9	Monthly	2	Daily	1	Daily driver, year-round	2	Daily	10	A few times per year	8	Never	10	A few times per year	0	n/a	0	180	60	90	2	Lease	1	New		
98	70		02/06/2013 09:02	2011	12/21/2010	2.5	Roadster	Goodyear	AZ	United States	85395	saprolf	01/21/2011	mi	150	41500	41500	210	210	167	167	139.89	NO					YES	2	11/12/2011	18000	NO				240	12	10	A few times per year	2	Daily	1	Daily driver, year-round	3	Most days of the week	11	About once per year	10	A few times per year	10	A few times per year	0	n/a	0	45	85	73	2	Lease	1	New		
99	1		02/10/2013 23:27	2008	02/06/2009	1.5	Roadster	Sammamish	WA	United States	98075	tomsax	06/05/2009	mi	74	31199	31199	234	234	181	181	150.87	YES	1	11	11/15/2010	13905	NO				NO				238	32	9	Monthly	2	Daily	2	Daily driver, except in winter	4	A few times per week	10	A few times per year	8	Never	8	Never	0	n/a	0	30	70	65	1	Own	1	New		
100	71		02/12/2013 15:48	2010	03/07/2010	2.0	Roadster	Aromas	CA	United States	95004		03/08/2010	mi	2	18900	18900	184	184	163	163		NO					NO				NO				240	50	10	A few times per year	5	Weekly	1	Daily driver, year-round	3	Most days of the week	11	About once per year	12	Less than once per year	12	Less than once per year	0	n/a	0	40	50	70	2	Lease	1	New		
101	72		02/14/2013 20:22	2011	04/21/2011	2.5	Roadster Sport	Charleston	SC	United States	29412	driver_EV	05/21/2011	mi	45	20413	20413			171	171	148.07	NO					NO				NO				240	40	10	A few times per year	4	A few times per week	1	Daily driver, year-round	2	Daily	11	About once per year	8	Never	10	A few times per year	0	n/a	0	20	45	60	1	Own	1	New		The Roadster info above is valid up until the end of December 2012, when I took delivery of the Model S. Now the Roadster is driven much less, it is &quot;just&quot; a fair weather, excitement and pleasure driving car. Now I will do few if any long distance drives in the Roadster, instead The Model S will serve for distance, cold/bad weather, relaxed, comfort driving.
103	73		02/17/2013 12:29	2010	04/10/2010	2.0	Roadster Sport	Alphen aan den Rijn		Netherlands		Banzai	05/06/2010	mi	20	41875	41875	212	212	165	165	144.15	NO					NO				YES	2			240	24	10	A few times per year	3	Most days of the week	1	Daily driver, year-round	2	Daily	9	Monthly	8	Never	12	Less than once per year	0	n/a	0	40	65	75	1	Own	1	New		
104	74		02/17/2013 21:46	2011	02/22/2011	2.5	Roadster	Reston	VA	United States	20191	JohnGarziglia	06/28/2011	mi	75	25203	25203			181	181		NO					NO				NO				240	50	10	A few times per year	2	Daily	1	Daily driver, year-round	2	Daily	10	A few times per year	8	Never	12	Less than once per year	0	n/a	0	47	80	68	1	Own	1	New		
105	75		02/18/2013 07:03	2011	07/11/2011	2.5	Roadster Sport	Raglan		United Kingdom		alexandersims	01/03/2012	mi	0	14806	14806	235	235	187	187		NO					NO				NO				240	32	5	Weekly	2	Daily	1	Daily driver, year-round	2	Daily	6	A few times per month	8	Never	8	Never	0	n/a	0	280	95	55	1	Own	1	New		
106	76		02/19/2013 21:09	2011	12/08/2010	2.5	Roadster	Atlanta	GA	United States	GA	sprediletto	06/01/2011	mi	10	16225	16225	240	240	185	185		NO					NO				NO				240	12	10	A few times per year	2	Daily	1	Daily driver, year-round	2	Daily	11	About once per year	10	A few times per year	10	A few times per year	0	n/a	0	10	50	80	1	Own	1	New		I can't seem to get to 245 ideal miles when charging in Range Mode. Even with a top off, the maximum reading is 240 miles. My daily commute is only 4 miles. On the weekends, we'll drive the Roadster 80-100 miles each day.
107	77		02/22/2013 01:40	2010	07/13/2009	2.0	Roadster Sport	San Diego	CA	United States	92130	rgjones	04/01/2010	mi	600	32264	32264	238	238	172	172	144.59	NO					NO				NO				240	33	3	Most days of the week	8	Never	1	Daily driver, year-round	2	Daily	11	About once per year	8	Never	12	Less than once per year	0	n/a	0	20	70	65	1	Own	2	Used		1st 600miles of life in Florida with likely high battery temps.  Subsequent all milage in SoCal.  Charge controlled by Tesla Tattler since Dec'2010  Cool battery on plug in at home.  Charge @ 2am in range mode till 155 ideal miles - range == ~67% SOC (Range)  As a result, this battery should have fewer hours at high temp and high SOC than cars with similar environment/use.
108	77		02/23/2013 21:15	2010	07/13/2009	2.0	Roadster Sport	San Diego	CA	United States	92130	rgjones	04/01/2010	mi	600	32309	32309	228	228	175	175	144.59	NO					NO				NO				240	33	10	A few times per year	10	A few times per year	1	Daily driver, year-round	3	Most days of the week	11	About once per year	8	Never	12	Less than once per year	0	n/a	0	20	70	65	1	Own	2	Used		Updated with standard &amp; range mode ideal miles for 130223
109	78		02/25/2013 14:32	2008	03/01/2009	1.5	Roadster	LA	CA	United States			06/07/2009	mi	200	51000	51000	212	212	182	182		YES	2	3	01/04/2010	24000	YES	1		48000	NO				120	12	6	A few times per month	3	Most days of the week	1	Daily driver, year-round	3	Most days of the week	10	A few times per year	12	Less than once per year	11	About once per year	0	n/a	0	89	70	65	1	Own	1	New		Problems like overheating have gone away from first year. Both new firmware and later new fan shrould have eliminated overheating battery but on super hot LA days the PEM still will get hot if driven hard. Three sheets swapped at about 12,000 miles. All new battery at 24K miles. Since 2011 about 20 percent of charging is 220V 40 amp
110	79		02/25/2013 14:34	2008	03/19/2009	1.5	Roadster	San Jose	CA	United States	95120		04/14/2009	mi	14	28577	28577			176	176		YES	1	2	12/12/2011	20000	NO				NO				240	30	10	A few times per year	3	Most days of the week	1	Daily driver, year-round	3	Most days of the week	8	Never	12	Less than once per year	12	Less than once per year	0	n/a	0	25	70	80	1	Own	1	New		
111	80		02/25/2013 15:01	2011	01/11/2011	2.5	Roadster	Sarasota	FL	United States	34240		04/21/2011	mi	30	12000	12000	245	245	186	186		NO					NO				NO				220	48	10	A few times per year	2	Daily	1	Daily driver, year-round	4	A few times per week	8	Never	8	Never	8	Never	0	n/a	0	25	15	80	1	Own	1	New		
112	81		02/25/2013 15:12	2010	05/22/2010	2.25	Roadster Sport	clarence	NY	United States	14031		06/14/2010	mi	25	21000	21000	235	235	182	182		NO					NO				NO				240	70	10	A few times per year	2	Daily	2	Daily driver, except in winter	2	Daily	8	Never	8	Never	8	Never	0	n/a	0	45	65	80	1	Own	1	New		My Model-S is for March Delivery.  Your map is far behind in total owner
113	82		02/25/2013 15:55	2010	03/23/2010	2.0	Roadster Sport	Edinburgh		United Kingdom		andrewbissell	03/31/2010	mi	70	28575	28575	225	225	178	178	148.78	NO					NO				NO				252	30	6	A few times per month	2	Daily	1	Daily driver, year-round	3	Most days of the week	9	Monthly	12	Less than once per year	12	Less than once per year	0	n/a	0	20	80	70	1	Own	1	New		
114	83		02/25/2013 16:23	2010	06/30/2009	2.0	Roadster	Ridgefield	CT	United States	06877		07/21/2009	mi	15	16000	16000	232	232	183	183		NO					NO				NO				240	40	10	A few times per year	2	Daily	1	Daily driver, year-round	2	Daily	8	Never	8	Never	8	Never	0	n/a	0	30	20	65	1	Own	1	New		
115	84		02/25/2013 19:52	2011	06/15/2011	2.5	Roadster	Shalimar	FL	United States	32579	Rupe	07/02/2011	mi	75	16500	16500	244	244	191	191		NO					NO				NO				240	40	10	A few times per year	2	Daily	1	Daily driver, year-round	2	Daily	11	About once per year	8	Never	8	Never	0	n/a	0	40	10	70	1	Own	1	New		
116	85		02/25/2013 20:40	2008	05/05/2009	1.5	Roadster	Los Altos	CA	United States	94024		05/27/2009	mi	34	23865	23865	227	227	177	177		NO					YES	2	06/11/2010	15189	NO				220	30	9	Monthly	4	A few times per week	1	Daily driver, year-round	2	Daily	12	Less than once per year	8	Never	8	Never	0	n/a	0	20	75	70	1	Own	1	New		
117	86		02/25/2013 21:27	2008	10/16/2008	1.5	Roadster	boca raton	FL	United States	33431	j-g	12/01/2008	mi	24	24182	24182			184	184		YES	2	4	05/12/2012	22000	NO				NO				240	24	12	Less than once per year	2	Daily	3	Occasional	6	A few times per month	12	Less than once per year	8	Never	8	Never	0	n/a	0	15	50	75	1	Own	1	New		
118	87		02/25/2013 22:54	2008	03/19/2009	1.5	Roadster	Holmdel	NJ	United States	07733	rugbymonk	05/01/2010	mi	103	51000	51000	194	194	159	159		YES	1	0	09/01/2011	20000	NO				NO				220	32	10	A few times per year	2	Daily	1	Daily driver, year-round	2	Daily	10	A few times per year	8	Never	8	Never	0	n/a	0	80	95	75	1	Own	2	Used		Good Luck.  Let me know if you need any other info.  Some of my info is estimated.  I can reconfirm over the weekend.   I am also reserved Model X (#1100ish) after deferring my Model S Signature reservation(#14)
119	88		02/25/2013 23:42	2008	09/29/2008	1.5	Roadster	Newbury Park	CA	United States	91320		11/06/2008	mi	25	28989	28989			179	179		NO					NO				NO				236	69	10	A few times per year	6	A few times per month	1	Daily driver, year-round	3	Most days of the week	9	Monthly	8	Never	8	Never	0	n/a	0	20	50	60	1	Own	1	New		
120	89		02/25/2013 23:45	2011	03/10/2011	2.5	Roadster	Gardnerville	NV	United States	89460	NvBob	05/13/2011	mi	125	16000	16000			185	185		NO					YES	1	11/27/2012	15661	YES	1	05/17/2012	10008	240	40	12	Less than once per year	2	Daily	2	Daily driver, except in winter	3	Most days of the week	8	Never	8	Never	12	Less than once per year	0	n/a	0	60	75	65	1	Own	1	New		
121	90		02/26/2013 01:26	2011	03/09/2011	2.5	Roadster	san clemente	CA	United States	92673	DZCPA	04/16/2011	mi	0	29000	29000	216	216	172	172	144.43	NO					NO				NO				220	40	10	A few times per year	2	Daily	1	Daily driver, year-round	2	Daily	8	Never	8	Never	8	Never	0	n/a	0	60	90	80	1	Own	1	New		
122	91		02/26/2013 09:42	2010	06/29/2009	2.0	Roadster	Nashville	TN	United States	37203	fredvoncolln	08/09/2009	mi	25	25995	25995	231	231	183	183		NO					NO				NO				240	30	11	About once per year	2	Daily	1	Daily driver, year-round	3	Most days of the week	11	About once per year	10	A few times per year	10	A few times per year	0	n/a	0	40	50	65	1	Own	1	New		Wonderful reliable vehicle.  Never have had a problem.
123	92		02/26/2013 10:17	2010	07/02/2009	2.0	Roadster	Cos Cob	CT	United States	06807	Ken Edwards	07/26/2009	mi		29324	29324	230	230	177	177		NO					YES	1			NO				240	12	10	A few times per year	2	Daily	1	Daily driver, year-round	2	Daily	12	Less than once per year	8	Never	8	Never	0	n/a	1	50	50	65	1	Own	1	New		
124	93		02/26/2013 12:25	2010	05/31/2009	2.0	Roadster	Sierra Madre	CA	United States	91024	John M	07/17/2009	mi	10	12097	12097	240	240	184	184		NO					NO				NO				240	40	10	A few times per year	5	Weekly	1	Daily driver, year-round	3	Most days of the week	12	Less than once per year	8	Never	8	Never	0	n/a	0	5	30	70	1	Own	1	New		The answers above represent about 3-1/2 years of driving up until Nov. 2012 when I received my Model S.  Roadster is driven very little now.
125	95		02/26/2013 16:16	2008	03/26/2009	1.5	Roadster	Cupertino	CA	United States	95014	SLByer	03/31/2009	mi	14	15734	15734			184	184		YES	2	4	04/15/2011	7500	NO				NO				204	30	11	About once per year	5	Weekly	1	Daily driver, year-round	3	Most days of the week	8	Never	8	Never	12	Less than once per year	8	Never	0	20	40	60	1	Own	1	New		
126	6		02/26/2013 17:33	2008	02/27/2009	1.5	Roadster	Woodinville	WA	United States	98077		03/27/2009	mi		27477	27477	240	240	192	192		YES	1	1000	07/25/2011	14439	NO				NO				120	15	8	Never	1	More than once per day	1	Daily driver, year-round	2	Daily	8	Never	8	Never	8	Never	8	Never	0	25	15	60	1	Own	1	New		
127	65		02/27/2013 08:24	2012	10/13/2011	2.5	Roadster	Doorn		Netherlands			11/30/2012	km	189	5016	3117.4642635177128651			306	190.1802361715351150	159.68	NO					NO				NO				230	32	10	A few times per year	2	Daily	1	Daily driver, year-round	2	Daily	10	A few times per year	8	Never	8	Never	8	Never	0	100	70	110	1	Own	1	New		Changed ideal range in standard mode charge to 306 km (190 mi). The originally given range (300 km/186 mi) were typically read 3 to 4 hrs after completion of charge.
131	95		02/27/2013 11:49	2008	03/26/2009	1.5	Roadster	Cupertino	CA	United States	95014	SLByer	03/31/2009	mi	14	15734	15734	234	234	184	184		YES	2	4	04/15/2011	7500	NO				NO				204	30	11	About once per year	5	Weekly	1	Daily driver, year-round	3	Most days of the week	8	Never	8	Never	12	Less than once per year	8	Never	0	20	40	60	1	Own	1	New		
133	97		02/27/2013 11:58	2008	11/13/2008	1.5	Roadster	San Carlos	CA	United States	94070		11/21/2008	mi	101	25663	25663			168	168		NO					NO				NO				245	30	11	About once per year	3	Most days of the week	1	Daily driver, year-round	3	Most days of the week	12	Less than once per year	12	Less than once per year	8	Never	8	Never	0	30	50	65	1	Own	1	New		
138	98		02/28/2013 12:43	2008	04/01/2009	1.5	Roadster	Winchester	OH	United States	45697		05/12/2009	mi	25	67300	67300			180	180		YES	2	0	01/10/2013	65000	YES	2	01/10/2013	65000	NO				240	30	10	A few times per year	2	Daily	1	Daily driver, year-round	2	Daily	8	Never	8	Never	8	Never	8	Never	0	60	80	65	1	Own	1	New		PEM change 1 was due to cooling fan controller briefly shutting down.  It started working again but during the next service they exchanged it for a reconditioned PEM under warrantee.  At 43,000 miles there was a fault on charging with the DC/DC converter located in the battery pack.  They switched the pack for a reconditioned one.  The most recent problem was a short in the drive for the cooling fans that caused fuses to blow in the PEM and battery pack. They switched both PEM and the battery pac
139	25		02/28/2013 14:01	2008	11/21/2008	1.5	Roadster	Long Beach	CA	United States	90815	Pantera Dude	11/28/2012	mi	24500	29300	29300	225	225	173	173		NO					NO				NO				240	30	11	About once per year	2	Daily	1	Daily driver, year-round	3	Most days of the week	8	Never	8	Never	8	Never	8	Never	0	20	45	78	1	Own	2	Used		
140	99		02/28/2013 16:22	2011	10/22/2010	2.5	Roadster	Erfurt		Germany		Eberhard	11/18/2010	km	0	128000	79552.517091361094	342	212.5543816034804226	265	164.6985705407085146	141.7	NO					NO				NO				230	24	10	A few times per year	2	Daily	1	Daily driver, year-round	2	Daily	9	Monthly	8	Never	12	Less than once per year	12	Less than once per year	0	130	90	88	1	Own	1	New		
141	2		02/28/2013 17:48	2010	09/23/2009	2.0	Roadster	redmond	WA	United States	98052	ChadS	10/02/2009	mi	0	37500	37500	219	219	171	171	140.51	NO					YES	1	06/10/2011	20000	NO				240	32	9	Monthly	2	Daily	1	Daily driver, year-round	4	A few times per week	11	About once per year	8	Never	8	Never	8	Never	0	8	50	60	1	Own	1	New		
142	100		02/28/2013 17:58	2010	08/24/2010	2.5	Roadster	Oakland	CA	United States	94611	jaanton	09/01/2010	mi	240	24520	24520	235	235	185	185		NO					NO				NO				117	15	10	A few times per year	3	Most days of the week	1	Daily driver, year-round	2	Daily	11	About once per year	12	Less than once per year	12	Less than once per year	12	Less than once per year	0	9	75	65	1	Own	1	New		Standard mode charge at 110v most often because that's at work.  At home  240v 32a.  I don't charge at home unless I've been driving a lot.  At 117v 15A standard charge finishes @ 185mi, but over the next couple hours it drifts up to 191mi usually.  I don't see that upwards drift with 240v charging.  I suspect that the slow 110v charge lets weak cells get more charge (because they're slow) and then the upward drift is from stronger cells giving up Ah to the slower cells.
143	25		02/28/2013 20:50	2008	11/21/2008	1.5	Roadster	Long Beach	CA	United States	90815	Pantera Dude	11/28/2012	mi	24500	29300	29300	225	225	173	173	148.08	NO					NO				NO				240	30	11	About once per year	2	Daily	1	Daily driver, year-round	3	Most days of the week	8	Never	8	Never	8	Never	8	Never	0	20	45	78	1	Own	2	Used		
144	101		02/28/2013 22:16	2011	04/07/2011	2.5	Roadster	Miami	FL	United States	33137	Rodolfo Paiz	08/31/2011	mi	11	3500	3500	242	242	189	189		NO					NO				NO				240	40	10	A few times per year	4	A few times per week	1	Daily driver, year-round	4	A few times per week	10	A few times per year	8	Never	8	Never	8	Never	0	15	70	75	1	Own	1	New		
145	102		02/28/2013 23:40	2011	04/12/2011	2.5	Roadster	Los Gatos	CA	United States	95033		06/11/2011	mi	50	19465	19465			187	187	158.14	NO					NO				NO				240	40	10	A few times per year	2	Daily	1	Daily driver, year-round	2	Daily	8	Never	8	Never	12	Less than once per year	8	Never	0	44	25	70	1	Own	1	New		
146	62		03/01/2013 01:53	2011	02/10/2011	2.5	Roadster	Anchorage	AK	United States	99501		05/31/2011	mi	20	12250	12250			192	192	155.76	NO					YES	2	06/15/2012	8000	NO				240	40	10	A few times per year	5	Weekly	2	Daily driver, except in winter	4	A few times per week	9	Monthly	8	Never	8	Never	8	Never	0	110	90	70	1	Own	1	New		Our car is incorrectly listed as a 2012.  It should be listed as a 2011
147	103		03/01/2013 04:02	2010	09/11/2009	2.0	Roadster	Link&ouml;ping		Sweden		f0x	09/24/2009	km	4	61481	38210.689869484152	344	213.7973896830329397	270	167.8060907395898073		NO					NO				NO				230	24	9	Monthly	4	A few times per week	1	Daily driver, year-round	3	Most days of the week	9	Monthly	12	Less than once per year	10	A few times per year	10	A few times per year	0	45	15	120	1	Own	1	New		My battery had problems with cooling after about 55000km. Service had to clean the coolant pipes  in the battery. That is when I got the battery is to hot warnings.  My Vin is in the European range!
148	104		03/02/2013 14:41	2011	04/30/2011	2.5	Roadster Sport	Munich		Germany		nikwest	06/20/2011	km	850	27486	17082.660037290242	342	212.5543816034804226	272	169.0490988191423244		NO					NO				NO				230	13	10	A few times per year	5	Weekly	1	Daily driver, year-round	2	Daily	10	A few times per year	8	Never	8	Never	10	A few times per year	0	30	0	150	1	Own	1	New		
149	105		03/02/2013 15:20	2010	05/25/2010	2.0	Roadster Sport	Bradford on Avon		United Kingdom			07/05/2010	mi	150	39248	39248	222	222	172	172		YES	1	1	12/04/2011	21190	NO				NO				230	10	6	A few times per month	2	Daily	3	Occasional	5	Weekly	12	Less than once per year	8	Never	8	Never	10	A few times per year	0	200	50	70	1	Own	1	New		
150	39		03/02/2013 15:32	2008	03/11/2009	1.5	Roadster	Yorba Linda	CA	United States	92886	Gary1M	07/02/2011	mi		19728	19728	230	230	185	185		NO					NO				NO				240	40	11	About once per year	2	Daily	1	Daily driver, year-round	3	Most days of the week	8	Never	8	Never	8	Never	8	Never	0	75	90	65	1	Own	2	Used		
152	107		03/03/2013 03:40	2011	12/05/2011	2.5	Roadster	Holte		Denmark		Quasimodo	03/19/2012	km	200	29854	18554.381603480423			294	182.7221876942200124		NO					NO				NO				240	32	9	Monthly	2	Daily	1	Daily driver, year-round	2	Daily	10	A few times per year	8	Never	8	Never	8	Never	0	100	80	110	1	Own	1	New		
153	108		03/03/2013 11:52	2010	05/12/2010	2.0	Roadster Sport	Long Beach	CA	United States	90807	Tesla 940	06/11/2010	mi	10	12100	12100	217	217	178	178		NO					NO				NO				240	40	10	A few times per year	5	Weekly	3	Occasional	5	Weekly	10	A few times per year	8	Never	8	Never	8	Never	0	100	90	65	1	Own	1	New		
154	104		03/03/2013 13:12	2011	04/30/2011	2.5	Roadster Sport	Munich		Germany		nikwest	06/20/2011	km	850	27486	17082.660037290242	342	212.5543816034804226	272	169.0490988191423244	144.72	NO					NO				NO				230	13	10	A few times per year	5	Weekly	1	Daily driver, year-round	2	Daily	10	A few times per year	8	Never	8	Never	10	A few times per year	0	30	0	150	1	Own	1	New		
155	89		03/03/2013 21:05	2011	03/10/2011	2.5	Roadster	Gardnerville	NV	United States	89460	NvBob	05/13/2011	mi	125	16561	16561			185	185	157.25	NO					YES	1	11/27/2012	15661	YES	1	05/17/2012	10008	240	40	12	Less than once per year	2	Daily	2	Daily driver, except in winter	3	Most days of the week	8	Never	8	Never	12	Less than once per year	8	Never	0	60	75	65	1	Own	1	New		
156	107		03/05/2013 11:57	2011	12/05/2011	2.5	Roadster	Holte		Denmark		Quasimodo	03/19/2012	km	200	29854	18554.381603480423			294	182.7221876942200124	156	NO					NO				NO				240	32	9	Monthly	2	Daily	1	Daily driver, year-round	2	Daily	10	A few times per year	8	Never	8	Never	8	Never	0	100	80	110	1	Own	1	New		
